,,,,
Name,Ukrainian,Russian,,1
ANDRUSHIVSKYI RAION,669,170,,
BARANIVSKYI RAION,5411,130,,
BERDYCHIVSKYI RAION,1502,120,,
BRUSYLIVSKYI RAION,338,155,,
VOLODARSKO-VOLYNSKYI RAION,2755,305,,
YEMILCHYNSKYI RAION,3215,146,,
ZHYTOMYRSKYI RAION,4113,1221,,
KOROSTENSKYI RAION,997,144,,
KOROSTYSHIVSKYI RAION,955,447,,
LUHYNSKYI RAION,328,54,,
LIUBARSKYI RAION,379,85,,
MALYNSKYI RAION,1390,396,,
NARODYTSKYI RAION,120,46,,
NOVOHRAD-VOLYNSKYI RAION,2328,152,,
OVRUTSKYI RAION,598,700,,
OLEVSKYI RAION,641,161,,
POPILNIANSKYI RAION,396,145,,
RADOMYSHLSKYI RAION,995,207,,
ROMANIVSKYI RAION,4039,95,,
RUZHYNSKYI RAION,439,83,,
CHERVONOARMIISKYI RAION,2569,92,,
CHERNIAKHIVSKYI RAION,487,93,,
CHUDNIVSKYI RAION,1372,177,,
m. BILA TSERKVA,2783,5909,,
m. BEREZAN,308,585,,
BORYSPIL (miskrada),685,1496,,
m. BROVARY,1457,2885,,
m. VASYLKIV,565,1371,,
IRPIN (miskrada),1959,4060,,
m. PEREIASLAV-KHMELNYTSKYI,474,243,,
m. RZHYSHCHIV,122,83,,
m. SLAVUTYCH,323,3278,,
m. FASTIV,855,1038,,
BARYSHIVSKYI RAION,452,237,,
BILOTSERKIVSKYI RAION,354,382,,
BOHUSLAVSKYI RAION,332,140,,
BORYSPILSKYI RAION,527,366,,
BORODIANSKYI RAION,1241,557,,
BROVARSKYI RAION,587,354,,
VASYLKIVSKYI RAION,619,597,,
VOLODARSKYI RAION,163,90,,
VYSHHORODSKYI RAION,772,2339,,
ZGHURIVSKYI RAION,220,101,,
IVANKIVSKYI RAION,300,226,,
KAHARLYTSKYI RAION,340,237,,
KYIEVO-SVIATOSHYNSKYI RAION,2037,3709,,
MAKARIVSKYI RAION,595,413,,
MYRONIVSKYI RAION,395,273,,
OBUKHIVSKYI RAION,913,2622,,
PEREIASLAV-KHMELNYTSKYI RAION,317,211,,
POLISKYI RAION,130,38,,
ROKYTNIANSKYI RAION,192,108,,
SKVYRSKYI RAION,398,119,,
STAVYSHCHENSKYI RAION,163,57,,
TARASHCHANSKYI RAION,203,111,,
TETIIVSKYI RAION,227,90,,
FASTIVSKYI RAION,335,180,,
YAHOTYNSKYI RAION,489,290,,
IVANO-FRANKIVSK (miskrada),2571,2392,,
BOLEKHIV (miskrada),146,21,,
m. KALUSH,538,154,,
m. KOLOMYIA,767,438,,
YAREMCHE (miskrada),69,12,,
BOHORODCHANSKYI RAION,124,23,,
VERKHOVYNSKYI RAION,25,12,,
HALYTSKYI RAION,237,48,,
HORODENKIVSKYI RAION,104,20,,
DOLYNSKYI RAION,389,82,,
KALUSKYI RAION,56,15,,
KOLOMYISKYI RAION,221,51,,
KOSIVSKYI RAION,221,31,,
NADVIRNIANSKYI RAION,306,126,,
ROHATYNSKYI RAION,90,18,,
ROZHNIATIVSKYI RAION,91,26,,
